gene,log2FC,lfcSE,pvalue,padj,method,dataset,disease
GABPB1-AS1,0.17431501650645137,0.0524792403987309,0.007557272718201852,0.015884628098464873,limma-trend,GSE58640,eosinophilic_esophagitis
IDI2-AS1,0.24626530939507804,0.14840262041388702,0.10743740483371014,0.15490411960500988,limma-trend,GSE58640,eosinophilic_esophagitis
IFNG,0.10214436501628538,0.03685630371388973,0.019027901383163952,0.035142608715701316,limma-trend,GSE58640,eosinophilic_esophagitis
IL13,0.9102996891884219,0.13757157839820894,1.6631500393318702e-6,2.2426101527830978e-5,limma-trend,GSE58640,eosinophilic_esophagitis
IL4,0.06834885324588434,0.041776498042383516,0.12781895808687624,0.17945509419371425,limma-trend,GSE58640,eosinophilic_esophagitis
IL5,0.6088761018432884,0.159221638564755,6.296500074626502e-4,0.0020094545190983562,limma-trend,GSE58640,eosinophilic_esophagitis
IL6,0.06460643400566625,0.03804986728519922,0.12322925798632597,0.17414329354851238,limma-trend,GSE58640,eosinophilic_esophagitis
MIR22HG,0.5964156825051462,0.09725260504956379,2.0535141985191063e-5,1.3627114457646613e-4,limma-trend,GSE58640,eosinophilic_esophagitis
OIP5-AS1,0.1472946464837107,0.11856960583971564,0.22773309598405841,0.2932718016242982,limma-trend,GSE58640,eosinophilic_esophagitis
TNF,-0.01603806551837333,0.11763628428010672,0.887214770094019,0.9097478531464009,limma-trend,GSE58640,eosinophilic_esophagitis
